48358,Woolworths Middle Bacon 1kg,$13.20,https://www.woolworths.com.au/shop/productdetails/48358/woolworths-middle-bacon-middle-rashers
99441,D'orsogna Hungarian Salami 4 Pack,$7.90,https://www.woolworths.com.au/shop/productdetails/99441/d-orsogna-hungarian-salami
323309,Willow Farm Dip Tzatziki 200g,$2.40,https://www.woolworths.com.au/shop/productdetails/323309/willow-farm-dip-tzatziki
807868,Perfect Italiano Parmesan Block 200g,$7.50,https://www.woolworths.com.au/shop/productdetails/807868/perfect-italiano-parmesan-block
390863,Riverland Ham Sliced Quad Pack 500g,$7.30,https://www.woolworths.com.au/shop/productdetails/390863/riverland-ham-sliced-quad-pack
544697,Primo Turkey Breast Sliced 80g,$3.95,https://www.woolworths.com.au/shop/productdetails/544697/primo-turkey-breast-sliced
353946,Bertocchi Premium Boneless Leg Ham Shaved From The Deli Per Kg,$26.00,https://www.woolworths.com.au/shop/productdetails/353946/bertocchi-premium-boneless-leg-ham-shaved-from-the-deli
620121,D'orsogna Jarrah Honey Ham Off The Bone Freshly Sliced From The Deli Per Kg,$29.00,https://www.woolworths.com.au/shop/productdetails/620121/d-orsogna-jarrah-honey-ham-off-the-bone-freshly-sliced-from-the-deli
27316,Ingham's Oven Roasted Turkey Breast Shaved From The Deli Per Kg,$30.00,https://www.woolworths.com.au/shop/productdetails/27316/ingham-s-oven-roasted-turkey-breast-shaved-from-the-deli
544696,Primo English Style Sliced Leg Ham 100g,$3.95,https://www.woolworths.com.au/shop/productdetails/544696/primo-english-style-sliced-leg-ham
302306,Perfect Italiano Extra Sharp Grated Parmesan 125g,$4.50,https://www.woolworths.com.au/shop/productdetails/302306/perfect-italiano-extra-sharp-grated-parmesan
19080,F Mayer Danish Fetta Cheese Per Kg,$16.50,https://www.woolworths.com.au/shop/productdetails/19080/f-mayer-danish-fetta-cheese-cheese
544762,Primo Chicken Breast Sliced 80g,$3.95,https://www.woolworths.com.au/shop/productdetails/544762/primo-chicken-breast-sliced-thinly-sliced
777173,K R Castlemaine Hungarian Salami Mild Sliced From The Deli Per Kg,$35.50,https://www.woolworths.com.au/shop/productdetails/777173/k-r-castlemaine-hungarian-salami-mild-sliced-from-the-deli
5033,Latina Fresh Lasagne Sheets Sheets 375g,$6.00,https://www.woolworths.com.au/shop/productdetails/5033/latina-fresh-lasagne-sheets-sheets
42161,Perfect Italiano Shredded Parmesan 125g,$4.50,https://www.woolworths.com.au/shop/productdetails/42161/perfect-italiano-shredded-parmesan
390439,D'orsogna Double Smoked Leg Ham 4 Pack,$7.90,https://www.woolworths.com.au/shop/productdetails/390439/d-orsogna-double-smoked-leg-ham
294517,La Famiglia Garlic Bread 400g,$5.00,https://www.woolworths.com.au/shop/productdetails/294517/la-famiglia-garlic-bread
266794,Woolworths Middle Bacon 250g,$4.40,https://www.woolworths.com.au/shop/productdetails/266794/woolworths-middle-bacon-middle-cut-rashers
290676,Veef Plant Based Roast Seitan 360g,$4.99,https://www.woolworths.com.au/shop/productdetails/290676/veef-plant-based-roast-seitan
289209,Veef Plant Based Beef Steak 360g,$4.99,https://www.woolworths.com.au/shop/productdetails/289209/veef-plant-based-beef-steak
290922,Veef Plant Based Beef Brisket 360g,$4.99,https://www.woolworths.com.au/shop/productdetails/290922/veef-plant-based-beef-brisket
239678,Nuffin Capsicum & Onion Dip 200g,$5.00,https://www.woolworths.com.au/shop/productdetails/239678/nuffin-capsicum-onion-dip
625348,Woolworths Hotdogs 500g,$3.00,https://www.woolworths.com.au/shop/productdetails/625348/woolworths-hotdogs
27566,Tibaldi Signature Ham Off The Bone 120g,$5.00,https://www.woolworths.com.au/shop/productdetails/27566/tibaldi-signature-ham-off-the-bone
85588,Woolworths Shaved Parmesan 250g,$6.00,https://www.woolworths.com.au/shop/productdetails/85588/woolworths-shaved-parmesan
381344,D'orsogna Tasty Sticks Mild From The Deli Per Kg,$22.00,https://www.woolworths.com.au/shop/productdetails/381344/d-orsogna-tasty-sticks-mild-from-the-deli
48527,Hans Devon Sliced Per Kg,$10.00,https://www.woolworths.com.au/shop/productdetails/48527/hans-devon-sliced
226581,Nevana Pizza Base 12 Pack,$4.80,https://www.woolworths.com.au/shop/productdetails/226581/nevana-pizza-base
208804,Nuffin Chive & Onion Dip 200g,$5.00,https://www.woolworths.com.au/shop/productdetails/208804/nuffin-chive-onion-dip
239188,Nuffin Beetroot Dip 200g,$5.00,https://www.woolworths.com.au/shop/productdetails/239188/nuffin-beetroot-dip
208397,Nuffin Hommus Dip 200g,$5.00,https://www.woolworths.com.au/shop/productdetails/208397/nuffin-hommus-dip
324006,Zanetti Parmigiano Reggiano 200g,$11.25,https://www.woolworths.com.au/shop/productdetails/324006/zanetti-parmigiano-reggiano-parmigiano-reggiano
290324,Don Leg Ham Shaved 200g,$6.40,https://www.woolworths.com.au/shop/productdetails/290324/don-leg-ham-shaved
748945,Macro Satay Tofu 200g,$4.50,https://www.woolworths.com.au/shop/productdetails/748945/macro-satay-tofu
39758,Woolworths Pitted Kalamata Olives With Italian Vinegar 110g,$3.25,https://www.woolworths.com.au/shop/productdetails/39758/woolworths-pitted-kalamata-olives-with-italian-vinegar
145566,Fantastic Fresh Noodles Hokkien 450g,$3.45,https://www.woolworths.com.au/shop/productdetails/145566/fantastic-fresh-noodles-hokkien
625347,Woolworths Cocktail Frankfurts 500g,$3.00,https://www.woolworths.com.au/shop/productdetails/625347/woolworths-cocktail-frankfurts
59755,Ingham's Oven Roasted Turkey Breast Sliced From The Deli Per Kg,$30.00,https://www.woolworths.com.au/shop/productdetails/59755/ingham-s-oven-roasted-turkey-breast-sliced-from-the-deli
744855,Woolworths Fresh Creamy Pumpkin Soup 300g,$3.00,https://www.woolworths.com.au/shop/productdetails/744855/woolworths-fresh-creamy-pumpkin-soup
129712,Deli Leg Ham Sliced From The Deli Per Kg,$19.00,https://www.woolworths.com.au/shop/productdetails/129712/deli-leg-ham-sliced-from-the-deli
695868,Woolworths Garlic Bread Slices 270g,$3.60,https://www.woolworths.com.au/shop/productdetails/695868/woolworths-garlic-bread-slices
544699,Primo Danish  Salami Sliced 80g,$3.95,https://www.woolworths.com.au/shop/productdetails/544699/primo-danish-salami-sliced
323081,Yumi's Traditional Middle Eastern Hommus Dip 200g,$4.50,https://www.woolworths.com.au/shop/productdetails/323081/yumi-s-traditional-middle-eastern-hommus-dip
176564,D'orsogna Shortcut Bacon 1kg,$14.00,https://www.woolworths.com.au/shop/productdetails/176564/d-orsogna-shortcut-bacon
311844,Thomas Dux Brie Cheese 125g,$2.75,https://www.woolworths.com.au/shop/productdetails/311844/thomas-dux-brie-cheese
334804,Primo Gourmet Prosciutto 100g,$6.00,https://www.woolworths.com.au/shop/productdetails/334804/primo-gourmet-prosciutto
695085,Macro Classic Tofu Regular 300g,$2.30,https://www.woolworths.com.au/shop/productdetails/695085/macro-classic-tofu-regular
47666,Hans Striker Salami Sticks 15g,$1.00,https://www.woolworths.com.au/shop/productdetails/47666/hans-striker-salami-sticks
128269,Don Premium Real Diced Bacon 200g,$4.40,https://www.woolworths.com.au/shop/productdetails/128269/don-premium-real-diced-bacon
